platform,title,company,location,url,date,salary,description,source,job_type,id
Nexurge,Senior PHP Laravel Developer,Nexurge,Visakhapatnam,https://bebee.com/in/jobs/senior-php-laravel-developer-nexurge-visakhapatnam--talent-afd0cc85f5f4,2026-04-18,,"🚀 We're Hiring: Senior PHP Laravel Developer

Company: Nexurge

Location: Remote (India) — must overlap 4-5 hours with European business hours (CET/GMT)

Type: Full-time

Compensation: ₹12–20 LPA (based on experience)

Apply now — Fill out the application form here 👈

https://www.notion.so/braindio/",rapidapi,Internship,c903d48a
Infysion Technologies,PHP Laravel Developer (6-8 year of Experience) Immediate Joiner,Infysion Technologies,Pune,https://bebee.com/in/jobs/php-laravel-developer-6-8-year-of-experience-immediate-joiner-infysion-technologies-pune--tideri-421f58af-aa45-4711-a446-2f3ee162ecfb,2026-04-17,,"Job Title: PHP Laravel Developer

Experience: 6–8 Years

Location: Pune

Employment Type: Full-time

Work Type: Hybrid

Joining: Immediate Joining

Job Summary

We are looking for an experienced PHP Laravel Developer to join our development team. The ideal candidate should have strong expertise in L",rapidapi,Full-time,e67f35cd
LinkedIn,Laravel Developer,SentientGeeks,Greater Kolkata Area,https://in.linkedin.com/jobs/view/laravel-developer-at-sentientgeeks-4311827087?position=2&pageNum=0&refId=BD29PFqBaAsCz2qGCzHPBw%3D%3D&trackingId=qG2L0lQoblHQUTo1Pusecg%3D%3D,2026-04-22,,,scraped,,44794427
LinkedIn,Laravel Developer,Webkul,"Bawana, Delhi, India",https://in.linkedin.com/jobs/view/laravel-developer-at-webkul-4393557181?position=7&pageNum=0&refId=BD29PFqBaAsCz2qGCzHPBw%3D%3D&trackingId=LdpyKH0pYtB9MnDfzl1muA%3D%3D,2026-04-22,,,scraped,,36c0180e
LinkedIn,Laravel Developer,Colan Infotech Private Limited,"Chennai, Tamil Nadu, India",https://in.linkedin.com/jobs/view/laravel-developer-at-colan-infotech-private-limited-4281596915?position=9&pageNum=0&refId=BD29PFqBaAsCz2qGCzHPBw%3D%3D&trackingId=14CfksyQ5nWnWYDA77kwDw%3D%3D,2026-04-22,,,scraped,,b3daa2cc
