platform,title,company,location,url,date,source_type,id
LinkedIn,Laravel Developer,SentientGeeks,Greater Kolkata Area,https://in.linkedin.com/jobs/view/laravel-developer-at-sentientgeeks-4311827087?position=2&pageNum=0&refId=YckCQKVBsTIEnhEuMrLfzQ%3D%3D&trackingId=iOjGcP2umxXLJX1kQUSpLA%3D%3D,2026-04-22,api,44794427
LinkedIn,Laravel Developer,Webkul,"Bawana, Delhi, India",https://in.linkedin.com/jobs/view/laravel-developer-at-webkul-4393557181?position=7&pageNum=0&refId=YckCQKVBsTIEnhEuMrLfzQ%3D%3D&trackingId=DO5rwiGy2pqsnubNQq33dQ%3D%3D,2026-04-22,api,36c0180e
LinkedIn,Laravel Developer,Colan Infotech Private Limited,"Chennai, Tamil Nadu, India",https://in.linkedin.com/jobs/view/laravel-developer-at-colan-infotech-private-limited-4281596915?position=9&pageNum=0&refId=YckCQKVBsTIEnhEuMrLfzQ%3D%3D&trackingId=oHUGhA0PZeEpMloGVKAyFg%3D%3D,2026-04-22,api,b3daa2cc
